"Country Id","Country Name"
delivered,delivered
delivered,delivered
delivered,delivered
delivered,delivered
delivered,delivered
delivered,delivered
payment_pending,payment_pending
delivered,delivered
delivered,delivered
delivered,delivered
payment_pending,payment_pending
delivered,delivered
payment_pending,payment_pending
delivered,delivered
delivered,delivered
delivered,delivered
delivered,delivered
delivered,delivered
payment_pending,payment_pending
delivered,delivered
delivered,delivered
delivered,delivered
delivered,delivered
delivered,delivered
delivered,delivered
payment_pending,payment_pending
delivered,delivered
delivered,delivered
delivered,delivered
delivered,delivered
delivered,delivered
delivered,delivered
delivered,delivered
delivered,delivered
delivered,delivered
delivered,delivered
delivered,delivered
delivered,delivered
delivered,delivered
delivered,delivered
delivered,delivered
delivered,delivered
delivered,delivered
delivered,delivered
